,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24,Total_Daily_Consumption
2023-07-06,38.864447,36.924668,36.154007,35.767268,35.37944,40.789592,46.558538,54.310184,62.03546,58.162048999999996,56.220137,63.95003,62.026415,60.082811,54.30376699999999,63.953737999999994,63.964969999999994,60.119845999999995,63.966122,62.015057,67.807448,62.001224,56.238074,54.303433999999996,1295.898726
2023-07-07,38.864006,36.932984000000005,36.156113000000005,35.777311999999995,35.389736,40.807376,46.615660999999996,54.374372,62.14785199999999,58.231745,56.27251699999999,64.053809,62.098505,60.197057,54.353860999999995,64.047428,64.052477,60.189685999999995,64.045214,62.104868,67.93534700000001,62.108639,56.288393,54.364553,1297.4095109999998
2023-07-08,39.66236,37.333835,36.396502999999996,35.927414,35.462267,41.99624,48.998015,58.309234999999994,67.642262,62.998658,60.670843999999995,69.988463,67.665707,65.313683,58.34261599999999,70.001279,70.000505,65.293685,70.00136,67.669478,74.656709,67.65777800000001,60.652727,58.351175,1390.9927979999998
2023-07-09,39.68306,37.341197,36.403883,35.936063000000004,35.468837,42.007517,49.036283,58.39856,67.753799,63.116036,60.765505999999995,70.126847,67.762016,65.396024,58.407101,70.10349199999999,70.107362,65.402153,70.107578,67.78701799999999,74.78962100000001,67.789628,60.740684,58.360472,1392.7907369999998
2023-07-10,38.920022,36.950471,36.16406,35.782082,35.386568,40.869935,46.728971,54.571832,62.398295,58.477093999999994,56.520998000000006,64.323782,62.378666,60.450713,54.574334,64.34126,64.35979999999999,60.449597,64.36330099999999,62.404469,68.264252,62.41301,56.531357,54.591190999999995,1302.21606
2023-07-11,38.926277,36.962792,36.168352999999996,35.785349,35.389241,40.880564,46.785067999999995,54.619685000000004,62.500076,58.572458,56.584385,64.471724,62.496746,60.528104,54.668402,64.457108,64.49070499999999,60.523865,64.44572299999999,62.495,68.39997199999999,62.449424,56.613833,54.629387,1303.8442409999998
2023-07-12,38.943809,36.972035,36.181835,35.777761999999996,35.384219,40.907033,46.825424,54.723743,62.608184,58.643873,56.699324,64.561436,62.573858,60.633376999999996,54.724183999999994,64.56869900000001,64.57526,60.611084,64.563524,62.601623,68.52236299999998,62.584946,56.707406000000006,54.694088,1305.589089
2023-07-13,38.958344,36.968921,36.178658,35.781803,35.384687,40.918409,46.878785,54.790414999999996,62.687698999999995,58.748048000000004,56.756761999999995,64.714148,62.689049000000004,60.712001,54.777986,64.667519,64.646045,60.680006,64.67544799999999,62.67518,68.628725,62.691029,56.764844,54.79118,1307.165691
2023-07-14,38.963609000000005,36.976957999999996,36.191915,35.789021,35.396279,40.943249,46.938050000000004,54.843821000000005,62.791216999999996,58.81859,56.823119000000005,64.734146,62.783288,60.767801,54.842579,64.777175,64.795508,60.784181000000004,64.762856,62.762894,68.713082,62.787904999999995,56.849336,54.857338999999996,1308.693918
2023-07-15,39.779387,37.390049000000005,36.43199,35.955484999999996,35.479988,42.172163,49.33421,58.911604999999994,68.46461,63.661202,61.284076999999996,70.838405,68.42823200000001,66.096701,58.905367999999996,70.83727999999999,70.822889,66.06656000000001,70.832177,68.446844,75.60653300000001,68.44225399999999,61.296065,58.89979699999999,1404.383871
2023-07-16,39.783868999999996,37.389437,36.432044000000005,35.952497,35.478953000000004,42.180452,49.388417,58.998796999999996,68.551181,63.766565,61.39508299999999,70.97219,68.536178,66.170249,58.974064999999996,70.97951599999999,70.956863,66.176567,70.985654,68.590835,75.775679,68.564294,61.35602299999999,58.980068,1406.335476
2023-07-17,39.005801,36.997442,36.195578,35.798992999999996,35.396774,41.002477999999996,47.021138,55.045367,63.076409,59.061401000000004,57.077495,65.0582,63.069488,61.048601,55.058255,65.084327,65.06276299999999,61.040167999999994,65.050793,63.062234,69.07193000000001,63.066554,57.047795,55.031803999999994,1313.4317879999999
2023-07-18,39.02633,37.008331999999996,36.200006,35.804474,35.395145,41.040746,47.062898,55.103336,63.17997200000001,59.134643,57.118562,65.176406,63.165400999999996,61.152713,55.103156,65.154095,65.162042,61.125685999999995,65.15243,63.175742,69.205247,63.178990999999996,57.124394,55.109393,1315.06014
2023-07-19,39.032522,37.025342,36.207512,35.806976,35.394614000000004,41.051006,47.116961,55.16297,63.263708,59.198885,57.181715,65.262842,63.26094499999999,61.245791,55.159955,65.28112999999999,65.27996,61.226918,65.282741,63.258128,69.336917,63.264545,57.208886,55.200851,1316.71182
2023-07-20,39.059018,37.028294,36.209824999999995,35.808632,35.406269,41.087438,47.155463,55.242035,63.345968,59.30176399999999,57.271211,65.371319,63.34712,61.32464,55.246849999999995,65.381255,65.364326,61.329977,65.360609,63.332414,69.405866,63.345085999999995,57.258773000000005,55.262996,1318.247148
2023-07-21,39.062699,37.026656,36.215990000000005,35.809982000000005,35.404928,41.101154,47.193632,55.323781999999994,63.430955,59.38428499999999,57.335552,65.489642,63.43487,61.415774,55.325294,65.51375300000001,65.48336,61.366544,65.479949,63.452051,69.559793,63.45221299999999,57.332762,55.329245,1319.924865
2023-07-22,39.880340000000004,37.442915,36.465308,35.968004,35.48213,42.337403,49.670324,59.486372,69.258239,64.342124,61.896743,71.671526,69.244298,66.79628,59.467238,71.68605199999999,71.707706,66.772997,71.709254,69.253721,76.575131,69.252524,61.860878,59.461541,1417.6890480000002
2023-07-23,39.904172,37.450799,36.469060999999996,35.98424,35.484263,42.351713,49.710266,59.559587,69.31169,64.43808200000001,62.028557,71.807138,69.37441100000001,66.89246299999999,59.548346,71.779922,71.820098,66.89720600000001,71.79543799999999,69.359282,76.712561,69.35324299999999,61.994339,59.526934999999995,1419.553812
2023-07-24,39.123755,37.053979999999996,36.223172,35.817803,35.40482,41.154973999999996,47.326921999999996,55.525805000000005,63.73952,59.627438,57.594059,65.79305,63.736136,61.679114,55.523788999999994,65.744972,65.788325,61.690895000000005,65.785184,63.746027,69.91753399999999,63.726217999999996,57.552857,55.511369,1324.787718
2023-07-25,39.124952,37.053224,36.233108,35.821196,35.404748,41.165675,47.333546,55.570336999999995,63.832535,59.724215,57.644054,65.86120700000001,63.81008,61.738658,55.557917,65.905694,65.87127799999999,61.727138,65.913677,63.806903,69.99527599999999,63.818792,57.633649999999996,55.587878,1326.135738
2023-07-26,39.131189,37.055042,36.236132,35.820530000000005,35.405837,41.193971,47.396501,55.618703,63.902069,59.808446,57.707027,65.993507,63.926072,61.864163,55.653262999999995,65.994848,65.973428,61.856899999999996,65.99026699999999,63.923587999999995,70.126856,63.892142,57.726764,55.656935000000004,1327.8541799999998
2023-07-27,39.139568,37.071359,36.235961,35.827973,35.412659000000005,41.211197,47.425922,55.710791,63.993932,59.878097000000004,57.795767,66.080375,63.997226000000005,61.949762,55.701323,66.07685599999999,66.074102,61.953208999999994,66.11711299999999,63.996838999999994,70.192034,64.03345999999999,57.788549,55.719521,1329.383595
